p,Nnew,k,LMFDB_label,sLinv,sLderiv,sLval,twist,ap_sign,rhobar,epp,fpp
3,51,8,51.8.a.d,100000,3,3,-95,1,2:[1:0];5:[1:0];7:[1:1];11:[1:0];13:[1:1];19:[1:1];23:[1:0];29:[1:0];31:[1:1];37:[1:1];41:[1:0];43:[1:1];47:[1:0];53:[1:0];59:[1:0];61:[1:1];67:[1:1];71:[1:0];73:[1:1];79:[1:1];83:[1:0];89:[1:0];97:[1:1];101:[1:0],1,1
3,51,8,51.8.a.d,-3,2,5,-95,1,2:[1:2];5:[1:1];7:[1:2];11:[1:0];13:[1:2];19:[1:1];23:[1:1];29:[1:0];31:[1:2];37:[1:2];41:[1:0];43:[1:2];47:[1:0];53:[1:0];59:[1:0];61:[1:1];67:[1:2];71:[1:2];73:[1:0];79:[1:0];83:[1:2];89:[1:1];97:[1:1];101:[1:2],1,1
3,51,8,51.8.a.d,-1,-1,0,-95,1,2:[1:2:2];5:[1:0:1];7:[1:0];11:[1:2:2];13:[1:1:2];19:[1:0];23:[1:0:1];29:[1:0:1];31:[1:2:2];37:[1:2:2];41:[1:0:1];43:[1:0];47:[1:1:2];53:[1:2:2];59:[1:0:1];61:[1:2:2];67:[1:2];71:[1:1:2];73:[1:2:2];79:[1:0];83:[1:2:2];89:[1:0:1];97:[1:2:2];101:[1:0:1],1,2
17,51,8,51.8.a.d,0,0,0,-4,1,2:[1:0];5:[1:16];7:[1:12];11:[1:15];13:[1:4];19:[1:8];23:[1:11];29:[1:2];31:[1:3];37:[1:6];41:[1:9];43:[1:3];47:[1:7];53:[1:14];59:[1:5];61:[1:7];67:[1:13];71:[1:16];73:[1:5];79:[1:16];83:[1:3];89:[1:0];97:[1:6];101:[1:0],1,1
17,51,8,51.8.a.d,-1,1,2,-4,1,2:[1:10];5:[1:14];7:[1:4];11:[1:3];13:[1:14];19:[1:4];23:[1:12];29:[1:14];31:[1:13];37:[1:4];41:[1:0];43:[1:12];47:[1:8];53:[1:11];59:[1:4];61:[1:6];67:[1:16];71:[1:6];73:[1:12];79:[1:3];83:[1:3];89:[1:0];97:[1:2];101:[1:3],1,1
17,51,8,51.8.a.d,0,1,1,-4,1,2:[1:10];5:[1:15];7:[1:10];11:[1:8];13:[1:12];19:[1:10];23:[1:1];29:[1:10];31:[1:14];37:[1:11];41:[1:10];43:[1:3];47:[1:12];53:[1:10];59:[1:16];61:[1:16];67:[1:0];71:[1:11];73:[1:15];79:[1:8];83:[1:9];89:[1:3];97:[1:10];101:[1:0],1,1
17,51,8,51.8.a.d,-2,0,2,-4,1,2:[1:12];5:[1:4];7:[1:8];11:[1:16];13:[1:2];19:[1:7];23:[1:8];29:[1:2];31:[1:8];37:[1:5];41:[1:14];43:[1:6];47:[1:10];53:[1:7];59:[1:2];61:[1:16];67:[1:1];71:[1:11];73:[1:3];79:[1:8];83:[1:4];89:[1:15];97:[1:13];101:[1:4],1,1
3,51,8,51.8.a.c,-3/2,1/2,2,-8,1,2:[1:1];5:[1:2];7:[1:2];11:[1:0];13:[1:2];19:[1:1];23:[1:2];29:[1:0];31:[1:2];37:[1:2];41:[1:0];43:[1:2];47:[1:0];53:[1:0];59:[1:0];61:[1:1];67:[1:2];71:[1:1];73:[1:0];79:[1:0];83:[1:1];89:[1:2];97:[1:1];101:[1:1],2,1
3,51,8,51.8.a.c,-1,2,3,-8,1,2:[1:1:2];5:[1:0:1];7:[1:0];11:[1:1:2];13:[1:1:2];19:[1:0];23:[1:0:1];29:[1:0:1];31:[1:2:2];37:[1:2:2];41:[1:0:1];43:[1:0];47:[1:2:2];53:[1:1:2];59:[1:0:1];61:[1:2:2];67:[1:2];71:[1:2:2];73:[1:2:2];79:[1:0];83:[1:1:2];89:[1:0:1];97:[1:2:2];101:[1:0:1],1,2
17,51,8,51.8.a.c,0,1,1,-7,-1,2:[1:4];5:[1:7];7:[1:13];11:[1:11];13:[1:3];19:[1:6];23:[1:6];29:[1:16];31:[1:6];37:[1:13];41:[1:10];43:[1:5];47:[1:5];53:[1:1];59:[1:16];61:[1:9];67:[1:14];71:[1:11];73:[1:8];79:[1:1];83:[1:8];89:[1:14];97:[1:15];101:[1:3],1,1
