p,Nnew,k,LMFDB_label,sLinv,sLderiv,sLval,twist,ap_sign,rhobar,epp,fpp
3,3,228,3.228.a.a,-22,6,28,-8,1,2:[1:0],1,1
3,3,228,3.228.a.a,-34,3,37,-8,1,2:[1:0],1,1
3,3,228,3.228.a.a,-27,4,31,-8,1,2:[1:0],1,1
3,3,228,3.228.a.a,-8,5,13,-8,1,2:[1:0],1,1
3,3,228,3.228.a.a,-52,4,56,-8,1,2:[1:0],1,1
3,3,228,3.228.a.a,-45,5,50,-8,1,2:[1:0],1,1
3,3,228,3.228.a.a,-15,5,20,-8,1,2:[1:0],1,1
3,3,242,3.242.a.a,-15,3,18,5,-1,2:[1:0],1,1
3,3,242,3.242.a.a,-45,3,48,5,-1,2:[1:0],1,1
3,3,242,3.242.a.a,-7,3,10,5,-1,2:[1:0],1,1
3,3,242,3.242.a.a,-61,3,64,5,-1,2:[1:0],1,1
3,3,242,3.242.a.a,-53,3,56,5,-1,2:[1:0],1,1
3,3,242,3.242.a.a,-29,0,29,5,-1,2:[1:0],1,1
3,3,242,3.242.a.a,-33,0,33,5,-1,2:[1:0],1,1
3,3,242,3.242.a.a,-40,2,42,5,-1,2:[1:0],1,1
3,3,242,3.242.a.a,-20,4,24,5,-1,2:[1:0],1,1
3,3,242,3.242.a.a,-57,5,62,5,-1,2:[1:0],1,1
3,3,242,3.242.a.a,-27,-1,26,5,-1,2:[1:0],1,1
3,3,242,3.242.a.a,-35,-1,34,5,-1,2:[1:0],1,1
3,3,242,3.242.a.a,-43,2,45,5,-1,2:[1:0],1,1
3,3,242,3.242.a.a,-17,2,19,5,-1,2:[1:0],1,1
3,3,242,3.242.a.a,-5,2,7,5,-1,2:[1:0],1,1
3,3,242,3.242.a.a,-59,2,61,5,-1,2:[1:0],1,1
3,3,242,3.242.a.a,-55,2,57,5,-1,2:[1:0],1,1
3,3,242,3.242.a.a,-31,1,32,5,-1,2:[1:0],1,1
3,3,242,3.242.a.a,-48,4,52,5,-1,2:[1:0],1,1
3,3,242,3.242.a.a,-12,4,16,5,-1,2:[1:0],1,1
3,3,228,3.228.a.b,-25,3,28,-4,-1,2:[1:0],1,1
3,3,228,3.228.a.b,-36,3,39,-4,-1,2:[1:0],1,1
